attraction_id,name,rating,address,opening_hours,description,nearby_attractions,level
23,"米拉山口",4.6,"林芝市工布江达县","全年全天开放","米拉山口即318国道经过米拉山时的山口，海拔5013米。这里是林芝和拉萨的地理交界处，而由于米拉山海拔较高有隔绝效应，山口东西两侧景色完全不同，东侧是绿植茂密的林芝，西侧则干旱苍凉，反差极大。 游客来到米拉山口一般是走318国道拉萨林芝一段时路过，米拉山也是当地藏族人心中的神山。山口处有巨大的经幡柱，五彩经幡迎风飘扬，风马随风飞旋，本身景色也很不错。","[{'name': '米拉山', 'distance': '直线距离<100m'}, {'name': '川藏公路', 'distance': '直线距离1.5km'}, {'name': '念卜错', 'distance': '直线距离3.2km'}, {'name': '爬国若错', 'distance': '直线距离3.6km'}, {'name': '热真错', 'distance': '直线距离5.3km'}, {'name': '潭巴错', 'distance': '直线距离5.3km'}, {'name': '思金拉措', 'distance': '直线距离5.5km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '新措', 'distance': '自然山水'}, {'name': '米拉山口', 'distance': '登高爬山'}, {'name': '结巴村', 'distance': '古镇古村'}, {'name': '巴松措环湖游船', 'distance': '乘船游览'}, {'name': '林拉公路', 'distance': '城市漫步'}, {'name': '尼洋河', 'distance': '登高爬山'}]",N/A
24,"比日神山生态景区",4.3,"林芝市巴宜区八一镇泉州路18号",N/A,"比日神山位于林芝的城区八一镇东侧，步行就能到达，因此这里也成了游玩川藏线、林芝线的游客在八一镇休整时选择的景点。比日神山上树木、寺院、博物馆等景色丰富，爬山不算难，很值得去逛逛。 比日神山上修建了生态栈道，进入后沿着栈道爬山即可。这里是西藏本土原始宗教苯教的一座神山，因此在这里也可以看到一些苯教的特色遗址。山间也有藏传佛教的寺院比日寺，还有规模宏大的经幡柱，拍照非常壮观。山间另一个重要景点是林芝自然博物馆，以展示西藏本土的动植物标本为主，既有当地特色，也可以学到很多知识。","[{'name': '林芝禁毒文化广场', 'distance': '直线距离289m'}, {'name': '林芝市图书馆', 'distance': '直线距离418m'}, {'name': '松海阁', 'distance': '直线距离441m'}, {'name': '福建园', 'distance': '直线距离442m'}, {'name': '名流推拿养生馆', 'distance': '直线距离595m'}, {'name': '老鹰广场', 'distance': '直线距离624m'}, {'name': '古医堂足疗', 'distance': '直线距离629m'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
25,"比日景区",4.3,"林芝市巴宜区八一镇泉州路18号",N/A,"比日神山位于林芝的城区八一镇东侧，步行就能到达，因此这里也成了游玩川藏线、林芝线的游客在八一镇休整时选择的景点。比日神山上树木、寺院、博物馆等景色丰富，爬山不算难，很值得去逛逛。 比日神山上修建了生态栈道，进入后沿着栈道爬山即可。这里是西藏本土原始宗教苯教的一座神山，因此在这里也可以看到一些苯教的特色遗址。山间也有藏传佛教的寺院比日寺，还有规模宏大的经幡柱，拍照非常壮观。山间另一个重要景点是林芝自然博物馆，以展示西藏本土的动植物标本为主，既有当地特色，也可以学到很多知识。","[{'name': '林芝禁毒文化广场', 'distance': '直线距离289m'}, {'name': '林芝市图书馆', 'distance': '直线距离418m'}, {'name': '松海阁', 'distance': '直线距离441m'}, {'name': '福建园', 'distance': '直线距离442m'}, {'name': '名流推拿养生馆', 'distance': '直线距离595m'}, {'name': '老鹰广场', 'distance': '直线距离624m'}, {'name': '古医堂足疗', 'distance': '直线距离629m'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
26,"鲁朗花海牧场",4.6,"西藏自治区林芝市巴宜区(318国道)",N/A,N/A,"[{'name': '田园风光观景台', 'distance': '直线距离3.3km'}, {'name': '鲁朗林海', 'distance': '直线距离5.1km'}, {'name': '鲁朗林海第一观景台', 'distance': '直线距离5.1km'}, {'name': '扎米错', 'distance': '直线距离5.7km'}, {'name': '鲁朗景区', 'distance': '直线距离6.1km'}, {'name': '鲁朗骑马场射箭场', 'distance': '直线距离6.1km'}, {'name': '德木冷泉河', 'distance': '直线距离6.2km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
27,"尼洋阁藏东南文化博览园",3.9,"西藏自治区林芝市巴宜区烈士陵园路",N/A,"尼洋阁藏东南文化博览园位于八一镇城外，是一处以表现门巴族、珞巴族等藏东南地区独有少数民族文化为主的博物馆。馆内共分为14个展厅，展示了很多有当地特色的文物、生活用品、服饰等，可以来此参观了解。 除了参观展厅之外，阁内走到尽头是一处售卖纪念品的地方，感兴趣的话可以挑选。另外，尼洋阁的建筑从外面看是一座很有藏族风格的圆塔，周围环绕着山峦，很有气势。每到夏天格桑花开，结合着建筑和山景很适合摄影。","[{'name': '藏东南文化遗产博物馆', 'distance': '直线距离151m'}, {'name': '工布藏族民居', 'distance': '直线距离220m'}, {'name': '烈士陵园(烈士陵园路)', 'distance': '直线距离259m'}, {'name': '娘乳岗景区', 'distance': '直线距离309m'}, {'name': '尼洋时光户外露营公园', 'distance': '直线距离336m'}, {'name': '时光绘影美术馆(林芝店)', 'distance': '直线距离443m'}, {'name': '大牧兄弟露营club', 'distance': '直线距离458m'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",4
28,"布久喇嘛岭寺",4.3,"西藏自治区林芝市巴宜区尼洋河下游左岸",N/A,"该景点位于尼洋河下游的布久乡，是一座藏传佛教红教（宁玛派）寺院。寺内建筑特别，周围景色优美，吸引很多游客前来求拜、观光。寺庙依山傍水，建立在山脚下的层层森林之中，有树木掩映，环境清幽。寺院的建筑中比较重要的是一座塔形佛殿，在其他寺院内都很少见。寺内的莲花生大士践石遗迹十分珍贵，精美的壁画也堪称藏东一绝。另外，在寺内向山下眺望，还可以远观到尼洋河美景，十分开阔。","[{'name': '喇嘛岭', 'distance': '直线距离168m'}, {'name': '工布花谷', 'distance': '直线距离1.6km'}, {'name': '工布原乡景区', 'distance': '直线距离2.0km'}, {'name': '琼果林景区', 'distance': '直线距离2.5km'}, {'name': '布久朵当村桃花园', 'distance': '直线距离3.4km'}, {'name': '布久寺', 'distance': '直线距离3.5km'}, {'name': '帮纳民俗村', 'distance': '直线距离5.7km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
29,"福建园",4.2,"西藏自治区林芝市巴宜区八一镇泉州路18号","具体营业状态以当天开放情况为准","福建园位于林芝八一镇内东南部，因福建省援助兴建而得名。园内建筑以“闽芝湖”为中心，辐射四周。主要有八大景观：芝阁飞云、武夷霞辉、双塔胜迹、天湖印月、春迎鹃柳、夏拥兰荷、秋映枫桂、冬照松梅。","[{'name': '林芝禁毒文化广场', 'distance': '直线距离157m'}, {'name': '名流推拿养生馆', 'distance': '直线距离170m'}, {'name': '深圳广场', 'distance': '直线距离274m'}, {'name': '老鹰广场', 'distance': '直线距离275m'}, {'name': '林芝市图书馆', 'distance': '直线距离405m'}, {'name': '福建广场', 'distance': '直线距离424m'}, {'name': '比日神山生态景区', 'distance': '直线距离442m'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
30,"嘎拉桃花村",4.6,"西藏自治区林芝市巴宜区八一镇东南方向约5公里处(近嘎拉村)",N/A,"嘎拉桃花村位于林芝八一镇东南侧大约5-6公里处，靠近嘎拉村附近，沿着尼洋河畔两侧的田园和山丘上，有密集的桃花盛开，一簇簇装点在碧绿草甸上，风光醉人，很受摄影师的喜爱。每年的3月下旬左右非常适合游玩嘎拉桃花村，此时正是桃花开的旺的时间，林芝的桃花节一般也会在此时举办，经常会有一些民俗表演等特色活动。","[{'name': '噶拉桃花树', 'distance': '直线距离<100m'}, {'name': '林芝桃花园', 'distance': '直线距离<100m'}, {'name': '嘎拉村红色研学主题教育展览馆', 'distance': '直线距离258m'}, {'name': '真巴村', 'distance': '直线距离2.5km'}, {'name': '尼洋曲', 'distance': '直线距离3.8km'}, {'name': '林芝桃花节', 'distance': '直线距离3.8km'}, {'name': '于麦观景台', 'distance': '直线距离4.0km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
31,"卧龙奇石",4.0,"西藏自治区林芝市米林市306省道西50米","具体营业状态以当天开放情况为准",N/A,"[{'name': '邦拉果', 'distance': '直线距离5.3km'}, {'name': '郎玛戈错', 'distance': '直线距离10.5km'}, {'name': '巴桑加拉', 'distance': '直线距离12.1km'}, {'name': '错察谋', 'distance': '直线距离12.3km'}, {'name': '阿嘎朗', 'distance': '直线距离12.6km'}, {'name': '达拉果', 'distance': '直线距离13.9km'}, {'name': '错昌木', 'distance': '直线距离14.6km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
32,"排龙温泉",5.0,"西藏自治区林芝市巴宜区G318(沪聂线)",N/A,N/A,"[{'name': '排龙温泉帐篷营地', 'distance': '直线距离152m'}, {'name': '排龙自驾房车露营地', 'distance': '直线距离196m'}, {'name': '老虎咀', 'distance': '直线距离1.3km'}, {'name': '落日', 'distance': '直线距离2.6km'}, {'name': '迫龙沟特大桥', 'distance': '直线距离2.8km'}, {'name': '迫隆藏布', 'distance': '直线距离2.9km'}, {'name': '培隆贡支', 'distance': '直线距离4.0km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
33,"江河汇流",4.4,"西藏自治区林芝市巴宜区雅鲁藏布江(岗派公路北180米)","具体营业状态以当天开放情况为准","尼洋河是雅江的五大支流之一，又称“娘曲”，全长300余公里，河水含沙量少，清澈见底。在汇流处，尼洋河水清澈而湍急，雅江水浊而流速缓慢，一清一浊，泾渭分明。尼洋河水汇入雅江逆流而上，形成倒流奇观。","[{'name': '雅鲁藏布江江河汇流处', 'distance': '直线距离511m'}, {'name': '老观景台', 'distance': '直线距离2.3km'}, {'name': '羌纳寺', 'distance': '直线距离3.0km'}, {'name': '尼洋河风光带', 'distance': '直线距离3.7km'}, {'name': '尼洋河观景台', 'distance': '直线距离3.7km'}, {'name': '雅尼国家湿地公园', 'distance': '直线距离3.7km'}, {'name': '拉日江多寺', 'distance': '直线距离4.7km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
34,"扎贡沟风景区",4.0,"西藏自治区林芝市米林市306省道","具体营业状态以当天开放情况为准。","扎贡沟原始森林位于米林县南部的南伊珞巴民族乡扎贡沟内，距离县城7公里，沟内藏药材尤为丰富，分布着贝母、虫草、党参、红景天、天麻、三七、雪莲花、野牡丹、秦究、藏麻黄、林芝、三颗针、雪山一枝蒿等价值较高的藏药材及松茸类和蕨类植物。","[{'name': '南伊沟', 'distance': '直线距离2.9km'}, {'name': '一杆清台球俱乐部', 'distance': '直线距离5.5km'}, {'name': '米林县全民健身活动中心', 'distance': '直线距离5.7km'}, {'name': '海康洗浴足浴', 'distance': '直线距离5.8km'}, {'name': '舒心浴室(厦门新村路店)', 'distance': '直线距离5.9km'}, {'name': '斌馨沐浴', 'distance': '直线距离5.9km'}, {'name': '雪域桑拿洗浴中心', 'distance': '直线距离5.9km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
